NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,SIMPLIFIED_MENU,MENU_TYPE,UNITS,EMPLOYEES,YEARS_IN_BUSINESS,ANNUAL_SALES,AVERAGE_CHECK,NUMBER_OF_ROOMS,FOOD_BEVERAGE_PURCHASE,FOOD_PURCHASE,BEVERAGE_PURCHASE,TOTAL_CATEGORY_DRY,TOTAL_CATEGORY_FRESH,TOTAL_CATEGORY_FROZEN,TOTAL_CATEGORY_PROTEIN,% Share of F&B Purchases from Company
SUBWAY,PARAGOULD,AR,72450,2604,05055,GREENE,,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,1 TO 4,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,126446.4108,108225.336692115,18221.074107885,20302.6206533222,19035.592321317,27723.7865979244,26652.8459839676,0.1752482098
BURGER KING,MILWAUKEE,WI,53226,1409,55079,MILWAUKEE,5082,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HAMBURGERS,HAMBURGERS,501+ UNITS,10 TO 19,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,367477.9488,307753.597795373,59724.3510046272,57625.0768041131,31489.1130077121,68576.2905501285,100135.379364524,0.5712113999
UNCLE REDS PIZZERIA,BELLFLOWER,CA,90706,2278,06037,LOS ANGELES,4472,LSR - QUICK CASUAL,"PIZZA, PASTA & ITALIAN",PIZZERIA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,184035.437543129,169322.411223892,14713.0263192375,29776.3627889331,24521.7105320626,32000.8322443416,54298.0733209957,0.8184681851
CRISPY CRUST,SHERMAN OAKS,CA,91403,,06037,LOS ANGELES,4472,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","PIZZA, PASTA & ITALIAN",ITALIAN - PIZZA & PASTA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,223842.998840586,207377.315983509,16465.6828570774,30389.0452730188,37160.6464480073,30888.0053595969,86034.9749285387,0.2961296197
ROLLING RICE,ROSEMEAD,CA,91770,2053,06037,LOS ANGELES,4472,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ASIAN,JAPANESE,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,189801.617472072,178218.200808168,11583.4166639047,28465.8632572328,36764.7572376107,26429.4591934462,70442.0631527062,0.359500174
HAAGEN-DAZS,CARLSBAD,CA,92008,4461,06073,SAN DIEGO,7320,"LSR - ICE CREAM PARLORS, FROZEN DESSERTS",FROZEN DESSERT,ICE CREAM / DAIRY,101-250 UNITS,5 TO 9,5 YEARS PLUS,"<=$500,000",UNDER $5,NOT APPLICABLE,102634.0518,84057.2884242,18576.7633758,14368.767252,13239.7926822,37974.599166,0,0.7957309824
REDBRICK PIZZA,FONTANA,CA,92336,1244,06071,SAN BERNARDINO,4472,LSR - QUICK CASUAL,"PIZZA, PASTA & ITALIAN",PIZZERIA,10-50 UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,267712.982344925,246310.212270713,21402.7700742112,43315.129912094,35671.2834570186,46551.0249114093,78986.4133691126,0.02716251089
MIYAKO,IRVINE,CA,92606,5108,06059,ORANGE,4472,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ASIAN,JAPANESE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,121879.065749498,114440.899415686,7438.16633381224,18279.0477012399,23608.0931464475,16971.3927503051,45233.6126576068,0.6789835613
KELLY'S DELI,CORONA,CA,92881,6604,06065,RIVERSIDE,4472,LSR - DELIVERY AND TAKE AWAY ONLY,"SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",DELI,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,80277.2046,70567.6142245267,9709.59037547328,11035.160539777,11296.8973238115,14741.6911265881,25683.9773236432,0.7369148511
SUBWAY,BAKERSFIELD,CA,93304,3181,06029,KERN,0680,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,10 TO 19,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,160060.5765,136995.662219671,23064.9142803292,25699.8134282476,24095.961772993,35093.8016947394,33738.1651766074,0.7442238799
KELLEY'S CAFE,TEHACHAPI,CA,93561,6768,06029,KERN,0680,"FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,115499.159437592,104693.070679638,10806.0887579538,14258.7068028158,18680.4807900951,26506.4150251154,35882.9987680036,0.5737635876
